gbd_cause_id_3_ml,gbd_indication_name_3,canonical_model_ta,canonical_model_ta_code,sort_order,observed_rows_total,observed_tas,observed_rows_by_ta
641,Congenital birth defects,Genetic,GENETIC,291,138,CARDIOVASCULAR|DERMATOLOGY|GASTROINTESTINAL|GENETIC|INFECTIONS|MUSCULOSKELETAL|NEUROLOGY|RENAL/UROLOGY|RESPIRATORY,"{""CARDIOVASCULAR"": 11, ""DERMATOLOGY"": 4, ""GASTROINTESTINAL"": 4, ""GENETIC"": 109, ""INFECTIONS"": 1, ""MUSCULOSKELETAL"": 1, ""NEUROLOGY"": 2, ""RENAL/UROLOGY"": 3, ""RESPIRATORY"": 3}"
594,Urinary diseases and male infertility,Renal/Urology,RENAL/UROLOGY,303,433,INFECTIONS|RENAL/UROLOGY|REPRODUCTIVE,"{""INFECTIONS"": 1, ""RENAL/UROLOGY"": 400, ""REPRODUCTIVE"": 32}"
603,Gynecological diseases,Reproductive,REPRODUCTIVE,309,421,ONCOLOGY|REPRODUCTIVE,"{""ONCOLOGY"": 1, ""REPRODUCTIVE"": 420}"
613,Hemoglobinopathies and hemolytic anemias,Hematology,HEMATOLOGY,317,225,HEMATOLOGY,"{""HEMATOLOGY"": 225}"
619,"Endocrine, metabolic, blood, and immune disorders",Endocrine,ENDOCRINE,325,2533,CARDIOVASCULAR|DERMATOLOGY|GASTROINTESTINAL|GENETIC|HEMATOLOGY|IMMUNOLOGY|METABOLIC|NEUROLOGY|ONCOLOGY|OPHTHALMOLOGY|PSYCHIATRY|RENAL/UROLOGY|REPRODUCTIVE|RESPIRATORY|UNCLASSIFIED,"{""CARDIOVASCULAR"": 43, ""DERMATOLOGY"": 4, ""GASTROINTESTINAL"": 1, ""GENETIC"": 530, ""HEMATOLOGY"": 493, ""IMMUNOLOGY"": 599, ""METABOLIC"": 729, ""NEUROLOGY"": 7, ""ONCOLOGY"": 5, ""OPHTHALMOLOGY"": 24, ""PSYCHIATRY"": 2, ""RENAL/UROLOGY"": 62, ""REPRODUCTIVE"": 7, ""RESPIRATORY"": 22, ""UNCLASSIFIED"": 5}"
680,Oral disorders,Dental,DENTAL,328,231,DENTAL|EAR/NOSE/THROAT|GASTROINTESTINAL|ONCOLOGY,"{""DENTAL"": 223, ""EAR/NOSE/THROAT"": 2, ""GASTROINTESTINAL"": 1, ""ONCOLOGY"": 5}"
686,Sudden infant death syndrome,Other/Unclassified,UNCLASSIFIED,334,0,,{}
689,Road injuries,Other/Unclassified,UNCLASSIFIED,337,1,UNCLASSIFIED,"{""UNCLASSIFIED"": 1}"
695,Other transport injuries,Other/Unclassified,UNCLASSIFIED,343,0,,{}
697,Falls,Other/Unclassified,UNCLASSIFIED,345,2,MUSCULOSKELETAL,"{""MUSCULOSKELETAL"": 2}"
698,Drowning,Other/Unclassified,UNCLASSIFIED,346,0,,{}
699,"Fire, heat, and hot substances",Other/Unclassified,UNCLASSIFIED,347,16,DERMATOLOGY|UNCLASSIFIED,"{""DERMATOLOGY"": 8, ""UNCLASSIFIED"": 8}"
700,Poisonings,Other/Unclassified,UNCLASSIFIED,348,3,GASTROINTESTINAL|UNCLASSIFIED,"{""GASTROINTESTINAL"": 1, ""UNCLASSIFIED"": 2}"
704,Exposure to mechanical forces,Other/Unclassified,UNCLASSIFIED,351,2,MUSCULOSKELETAL|NEUROLOGY,"{""MUSCULOSKELETAL"": 1, ""NEUROLOGY"": 1}"
708,Adverse effects of medical treatment,Other/Unclassified,UNCLASSIFIED,354,77,CARDIOVASCULAR|DERMATOLOGY|GASTROINTESTINAL|INFECTIONS|MUSCULOSKELETAL|NEUROLOGY|ONCOLOGY|RENAL/UROLOGY|RESPIRATORY|UNCLASSIFIED,"{""CARDIOVASCULAR"": 3, ""DERMATOLOGY"": 1, ""GASTROINTESTINAL"": 3, ""INFECTIONS"": 1, ""MUSCULOSKELETAL"": 3, ""NEUROLOGY"": 3, ""ONCOLOGY"": 5, ""RENAL/UROLOGY"": 1, ""RESPIRATORY"": 1, ""UNCLASSIFIED"": 56}"
