FULL DATASET AUDIT: 59888 Rows, 147 Columns
================================================================================
COLUMN NAME                         | TYPE       | MISSING %  | UNIQUE   | EXAMPLE / STATS
emb_82                              | float64    | 0.0      % | 49893    | Mean: -0.00 | Max: 0.74870485 
emb_83                              | float64    | 0.0      % | 49890    | Mean: 0.00 | Max: 0.92838275 
emb_84                              | float64    | 0.0      % | 49896    | Mean: -0.00 | Max: 0.80876637 
emb_85                              | float64    | 0.0      % | 49894    | Mean: -0.00 | Max: 0.7792504 
emb_86                              | float64    | 0.0      % | 49894    | Mean: 0.00 | Max: 0.8131043 
emb_87                              | float64    | 0.0      % | 49896    | Mean: -0.00 | Max: 0.7743985 
emb_88                              | float64    | 0.0      % | 49889    | Mean: 0.00 | Max: 0.88617826 
emb_89                              | float64    | 0.0      % | 49892    | Mean: 0.00 | Max: 0.79160625 
emb_90                              | float64    | 0.0      % | 49891    | Mean: 0.00 | Max: 0.7056315 
emb_91                              | float64    | 0.0      % | 49892    | Mean: 0.00 | Max: 0.81508195 
emb_92                              | float64    | 0.0      % | 49895    | Mean: 0.00 | Max: 0.85302424 
emb_93                              | float64    | 0.0      % | 49892    | Mean: -0.00 | Max: 0.79560536 
emb_94                              | float64    | 0.0      % | 49880    | Mean: -0.00 | Max: 0.6564274 
emb_95                              | float64    | 0.0      % | 49893    | Mean: -0.00 | Max: 0.6780076 
emb_96                              | float64    | 0.0      % | 49898    | Mean: 0.00 | Max: 0.6463276 
emb_97                              | float64    | 0.0      % | 49893    | Mean: 0.00 | Max: 0.7404615 
emb_98                              | float64    | 0.0      % | 49893    | Mean: -0.00 | Max: 0.7895449 
emb_99                              | float64    | 0.0      % | 49885    | Mean: -0.00 | Max: 0.718221 
